; Rate card file for Keno for Windows.
; Only edit in the "Text only" mode of your word processor.
; Comments begin with a semicolon in the first column.  Numbers are
; integers separated by commas.  The first number is the number of
; marks on the card.  The second is the number caught.  The last is
; the payoff based on a one dollar bet.  The largest payoff allowed
; is 50000.  The maximum number of payoff lines is 100.
; #marks,#win,pay
1,1,3
2,2,12
3,2,1
3,3,42
4,2,1
4,3,4
4,4,112
5,3,1
5,4,14
5,5,720
6,3,1
6,4,4
6,5,88
6,6,1480
7,4,1
7,5,20
7,6,380
7,7,8000
8,5,9
8,6,80
8,7,1480
8,8,25000
9,5,4
9,6,44
9,7,300
9,8,4000
9,9,25000
10,5,2
10,6,20
10,7,136
10,8,960
10,9,4000
10,10,25000
11,5,1
11,6,8
11,7,72
11,8,360
11,9,1800
11,10,12000
11,11,28000
12,6,5
12,7,32
12,8,240
12,9,600
12,10,1480
12,11,12000
12,12,36000
13,6,1
13,7,16
13,8,80
13,9,720
13,10,4000
13,11,8000
13,12,25000
13,13,36000
14,6,1
14,7,10
14,8,40
14,9,320
14,10,1000
14,11,3200
14,12,16000
14,13,25000
14,14,40000
15,7,8
15,8,28
15,9,132
15,10,300
15,11,2600
15,12,8000
15,13,25000
15,14,32000
15,15,40000
